FECHA UTC,HORA UTC,LATITUD º,LONGITUD º,PROFUNDIDAD (km),MAGNITUD,EPICENTRO,RMS,GAP,ERROR-LAT,ERROR-LON,ERROR-Z,CATALOGO,AUTOR,ID,TIPO_MAG,MODELO
1993-09-16,12:19:18,7.142,-74.024,0.0,3.0,YONDO - ANTIOQUIA,0.5,241.0,18.5,4.2,20.6,SS_RSNC,,,ML,RSNC
1994-09-18,07:47:57,7.442,-73.795,12.6,3.3,SAN PABLO - BOLIVAR,0.5,266.0,18.3,7.9,10.2,SS_RSNC,,,ML,RSNC
1994-10-01,12:01:37,7.155,-73.894,8.4,3.5,BARRANCABERMEJA - SANTANDER,0.2,244.0,7.2,6.2,12.1,SS_RSNC,,,ML,RSNC
1995-06-13,21:26:43,7.071,-73.79,6.2,2.4,BARRANCABERMEJA - SANTANDER,0.6,308.0,12.2,10.2,11.1,SS_RSNC,,,ML,RSNC
1995-08-26,22:50:00,6.878,-74.053,11.1,1.6,YONDO - ANTIOQUIA,0.6,218.0,23.8,5.3,15.5,SS_RSNC,,,ML,RSNC
1995-11-02,01:21:08,7.515,-73.956,3.3,2.2,SAN PABLO - BOLIVAR,0.5,276.0,13.9,6.4,26.7,SS_RSNC,,,ML,RSNC
1995-11-09,01:09:05,7.194,-74.004,10.2,2.2,PUERTO WILCHES - SANTANDER,0.2,253.0,10.9,4.8,20.2,SS_RSNC,,,ML,RSNC
1995-11-29,04:32:47,7.207,-73.645,0.0,2.4,SABANA DE TORRES - SANTANDER,0.5,256.0,9.6,3.2,7.9,SS_RSNC,,,ML,RSNC
1996-03-01,07:33:48,7.147,-73.921,6.0,2.9,BARRANCABERMEJA - SANTANDER,0.4,243.0,13.8,12.7,26.0,SS_RSNC,,,ML,RSNC
1997-01-14,06:44:03,7.223,-73.606,16.2,1.5,SABANA DE TORRES - SANTANDER,0.1,285.0,7.8,4.1,4.6,SS_RSNC,,,ML,RSNC
1997-10-30,05:06:58,7.454,-73.92,0.0,2.6,SAN PABLO - BOLIVAR,0.4,164.0,3.1,4.0,7.4,SS_RSNC,,,ML,RSNC
1997-11-12,07:41:36,7.186,-74.1,12.0,2.2,PUERTO WILCHES - SANTANDER,0.3,160.0,8.0,6.2,15.6,SS_RSNC,,,ML,RSNC
1997-12-09,17:58:00,7.262,-73.821,9.1,2.4,PUERTO WILCHES - SANTANDER,0.2,236.0,2.5,8.2,6.7,SS_RSNC,,,ML,RSNC
1998-01-21,00:23:16,7.213,-73.831,11.4,1.7,PUERTO WILCHES - SANTANDER,999.0,237.0,5.0,12.4,13.2,SS_RSNC,,,ML,RSNC
1998-02-04,06:04:36,7.148,-73.611,1.6,2.3,BARRANCABERMEJA - SANTANDER,0.5,196.0,2.8,11.9,11.8,SS_RSNC,,,ML,RSNC
1998-03-20,22:31:09,7.507,-73.964,15.3,2.8,SAN PABLO - BOLIVAR,0.7,173.0,4.2,4.7,21.2,SS_RSNC,,,ML,RSNC
1998-04-12,05:18:44,7.525,-73.875,24.0,1.9,SAN PABLO - BOLIVAR,0.3,165.0,8.0,2.9,15.1,SS_RSNC,,,ML,RSNC
1998-04-17,04:10:15,7.428,-73.802,12.8,2.1,CANTAGALLO - BOLIVAR,0.1,236.0,1.1,4.9,3.6,SS_RSNC,,,ML,RSNC
1998-06-15,21:03:25,7.081,-73.657,0.0,2.0,BARRANCABERMEJA - SANTANDER,0.2,223.0,2.4,17.8,7.0,SS_RSNC,,,ML,RSNC
1999-03-29,03:48:30,7.062,-73.967,4.0,2.7,YONDO - ANTIOQUIA,0.3,146.0,3.3,13.4,27.4,SS_RSNC,,,ML,RSNC
1999-06-01,19:09:07,7.359,-74.059,9.2,2.5,CANTAGALLO - BOLIVAR,0.3,167.0,2.5,2.8,13.8,SS_RSNC,,,ML,RSNC
1999-10-02,02:51:11,7.341,-74.121,17.4,2.1,CANTAGALLO - BOLIVAR,0.2,209.0,1.6,9.8,12.2,SS_RSNC,,,ML,RSNC
1999-12-26,04:11:03,7.109,-74.042,9.7,3.3,YONDO - ANTIOQUIA,0.1,220.0,1.5,2.9,3.6,SS_RSNC,,,ML,RSNC
1999-12-26,07:18:51,7.12,-73.893,0.0,2.5,BARRANCABERMEJA - SANTANDER,0.4,211.0,3.4,10.8,11.6,SS_RSNC,,,ML,RSNC
1999-12-27,02:37:00,7.077,-74.058,7.5,2.3,YONDO - ANTIOQUIA,0.3,152.0,2.9,2.9,7.1,SS_RSNC,,,ML,RSNC
2000-01-24,07:37:40,7.322,-73.519,13.8,1.9,SABANA DE TORRES - SANTANDER,0.6,207.0,2.7,25.8,10.9,SS_RSNC,,,ML,RSNC
2000-02-02,07:03:38,7.319,-73.721,13.5,2.3,PUERTO WILCHES - SANTANDER,0.4,144.0,3.3,6.1,9.8,SS_RSNC,,,ML,RSNC
2000-03-07,12:08:32,7.361,-74.075,1.1,2.5,CANTAGALLO - BOLIVAR,0.7,214.0,4.5,17.2,15.7,SS_RSNC,,,ML,RSNC
2000-05-30,07:47:25,7.229,-74.035,0.9,2.5,PUERTO WILCHES - SANTANDER,0.9,256.0,18.7,8.1,28.3,SS_RSNC,,,ML,RSNC
2001-08-05,05:31:08,7.457,-73.716,0.1,2.2,SAN PABLO - BOLIVAR,0.9,150.0,6.1,9.8,27.4,SS_RSNC,,,ML,RSNC
2001-08-26,00:23:41,7.242,-74.107,17.2,2.9,PUERTO WILCHES - SANTANDER,0.7,126.0,6.3,8.3,15.3,SS_RSNC,,,ML,RSNC
2001-09-12,10:19:22,7.019,-73.966,16.7,1.7,YONDO - ANTIOQUIA,0.1,144.0,2.7,3.0,5.7,SS_RSNC,,,ML,RSNC
2001-10-11,13:39:41,7.523,-74.146,6.0,2.3,SAN PABLO - BOLIVAR,0.4,263.0,4.0,18.5,12.4,SS_RSNC,,,ML,RSNC
2001-10-17,08:20:14,7.281,-74.001,3.6,1.7,PUERTO WILCHES - SANTANDER,0.1,159.0,2.1,4.7,6.7,SS_RSNC,,,ML,RSNC
2001-10-27,16:19:30,7.511,-74.007,12.2,2.8,SAN PABLO - BOLIVAR,0.5,173.0,5.4,8.2,14.4,SS_RSNC,,,ML,RSNC
2001-12-17,23:46:40,7.4,-74.048,0.0,3.0,CANTAGALLO - BOLIVAR,1.3,128.0,8.0,12.0,21.7,SS_RSNC,,,ML,RSNC
2001-12-26,22:27:00,7.177,-74.126,9.0,2.4,YONDO - ANTIOQUIA,0.4,161.0,4.6,5.0,11.8,SS_RSNC,,,ML,RSNC
2002-02-28,02:50:08,7.22,-73.712,20.8,2.3,BARRANCABERMEJA - SANTANDER,0.1,139.0,1.7,2.5,10.7,SS_RSNC,,,ML,RSNC
2002-05-05,09:49:24,7.008,-73.952,2.2,3.0,YONDO - ANTIOQUIA,1.3,143.0,11.3,13.1,27.8,SS_RSNC,,,ML,RSNC
2002-06-05,14:36:40,7.258,-73.577,16.0,2.8,SABANA DE TORRES - SANTANDER,0.4,132.0,4.1,8.6,11.8,SS_RSNC,,,ML,RSNC
2002-08-16,21:36:32,7.245,-74.084,4.1,2.3,PUERTO WILCHES - SANTANDER,0.5,162.0,5.9,7.9,16.5,SS_RSNC,,,ML,RSNC
2002-09-23,11:45:13,7.189,-74.056,1.5,2.0,PUERTO WILCHES - SANTANDER,0.4,189.0,2.8,4.7,10.5,SS_RSNC,,,ML,RSNC
2003-05-19,20:44:53,7.304,-74.019,20.3,2.8,PUERTO WILCHES - SANTANDER,0.2,203.0,3.2,5.6,5.2,SS_RSNC,,,ML,RSNC
2003-05-26,10:51:31,7.294,-73.575,0.0,2.0,SABANA DE TORRES - SANTANDER,0.2,215.0,2.2,17.1,10.1,SS_RSNC,,,ML,RSNC
2003-06-15,22:50:14,7.489,-74.004,5.7,2.5,SAN PABLO - BOLIVAR,0.2,265.0,9.3,4.1,6.7,SS_RSNC,,,ML,RSNC
2003-10-16,20:47:11,7.279,-73.681,0.0,2.1,SABANA DE TORRES - SANTANDER,0.9,140.0,6.5,13.9,18.2,SS_RSNC,,,ML,RSNC
2003-12-10,13:23:48,7.191,-74.186,0.0,2.2,PUERTO WILCHES - SANTANDER,0.3,261.0,2.8,10.7,9.8,SS_RSNC,,,ML,RSNC
2004-06-06,21:24:12,7.266,-73.97,0.0,2.3,PUERTO WILCHES - SANTANDER,0.6,157.0,4.6,6.1,11.2,SS_RSNC,,,MLr,RSNC
2004-06-16,04:59:06,7.229,-74.021,11.5,2.4,PUERTO WILCHES - SANTANDER,0.4,158.0,3.6,9.1,20.0,SS_RSNC,,,MLr,RSNC
2004-08-15,02:44:14,7.014,-73.996,20.0,2.0,YONDO - ANTIOQUIA,0.2,145.0,3.4,4.1,9.5,SS_RSNC,,,MLr,RSNC
2004-10-22,16:48:14,7.046,-74.008,4.0,3.3,YONDO - ANTIOQUIA,0.5,117.0,3.9,4.2,9.0,SS_RSNC,,,MLr,RSNC
