APAC,"7,90028","-76,58042"
ARGC,"9,8577","-74,2458"
BBAC,"2,0216","-77,2469"
BAR2,"6,5918","-73,18378"
BRJC,"6,9732","-73,7442"
BRJC,"6,9732","-73,7442"
BET,"2,7225","-75,4179"
CREAC,"4,6336","-74,088"
CAP2,"8,646","-77,359"
RNCC,"13,573555","-80,091805"
SERC,"14,28628","-80,36491"
CRJC,"11,02","-72,8816"
CHI,"4,6295","-73,7317"
CBOC,"5,8645","-76,0122"
CRU,"1,5678","-76,952"
CUM,"0,9414","-77,8249"
DBB,"7,0174","-76,2097"
FLO2,"1,5825","-75,6525"
GARC,"2,1867","-75,4938"
GUA,"2,5421","-72,6239"
GUY2C,"5,226","-75,3829"
SAIC,"12,5374033","-81,7119867"
GR1C,"3,0027","-78,1668"
MAP,"4,0036","-81,6065"
JAMC,"3,214833","-76,673444"
MACC,"2,1452","-73,8477"
LCBC,"8,8573","-76,3677"
MAL,"4,01","-77,3318"
NOR,"5,5635","-74,8691"
OCA,"8,2389","-73,3196"
ORTC,"3,9093","-75,2461"
PAM,"7,3395","-72,6996"
PIZC,"4,9653","-77,3597"
POP2,"2,5403","-76,6761"
PRA,"3,7139","-74,8861"
PRV,"13,376","-81,3633"
PTB,"6,5395","-74,4564"
PTGC,"4,199","-72,134"
PTLC,"-0,17042","-74,797"
PTA,"7,1422","-77,8085"
ROSC,"4,8449","-74,3211"
RUS,"5,8925","-73,0832"
SJC,"9,8967","-75,1796"
URE,"7,7517","-75,5326"
PAL,"4,9056","-76,2825"
SPBC,"5,6522","-74,0724"
HEL,"6,1909","-75,529"
SMAR,"11,1638","-74,2245"
SOL,"6,223637","-77,405428"
TAM,"6,4354","-71,7913"
TUM,"1,8237","-78,7268"
URMC,"3,24723","-74,37872"
URI,"11,7017","-71,9925"
VIL,"4,1111","-73,6934"
YPLC,"5,3969","-72,3802"
YOT,"3,9834","-76,3451"
ZAR,"7,4923","-74,858"
